,name,population,area,latitude,longitude,temperature,density
2,Calgary,1096833.0,825.29,51.054444000000004,-114.06694399999999,12.152328767123288,1329.0273721964402
6,Edmonton,812201.0,684.37,53.5,-113.5,11.098337950138504,1186.7863874804564
18,Abbotsford,133497.0,375.55,49.054611111111,-122.32799999999999,15.782786885245901,355.47064305684995
20,Burnaby,223218.0,90.61,49.25,-122.94916699999999,13.876666666666669,2463.5029246220065
42,Nanaimo,83811.0,91.0,49.164166666667,-123.93638888889,13.864754098360654,921.0
56,Revelstoke,7139.0,40.0,50.9981,-118.196,13.483977900552485,178.475
57,Richmond,198309.0,129.27,49.166666666667005,-123.13333333333,16.176136363636363,1534.0682292875376
60,Surrey,468251.0,316.41,49.1833,-122.85,13.43961038961039,1479.8868556619575
63,Vancouver,603502.0,115.0,49.25,-123.1,15.153846153846155,5247.843478260869
65,Victoria,80032.0,19.47,48.422151,-123.3657,15.129145728643214,4110.529019003596
83,Fredericton,56224.0,130.68,45.95,-66.666666666667,11.938202247191011,430.24181205999383
89,St. John's,106172.0,446.06,47.5675,-52.707222222222,9.719398907103825,238.02179079047662
91,Iqaluit,6699.0,52.0,63.75,-68.55,-4.642939481268011,128.82692307692307
92,Barrie,141434.0,76.99,44.39,-79.686,15.047202797202797,1837.043771918431
98,Burlington,175779.0,185.66,43.325,-79.8,14.179888268156423,946.7790584940213
104,Greater Sudbury,161531.0,3200.56,46.49,-81.01,10.428099173553719,50.46960531906917
107,Hamilton,519949.0,1138.11,43.25,-79.866666666667,15.220505617977528,456.8530282661606
111,Kitchener,219153.0,136.89,43.45,-80.483333333333,14.015109890109889,1600.9423624808242
113,Markham,301709.0,212.58,43.8833,-79.25,15.080601092896174,1419.2727443785868
114,Mississauga,713443.0,292.4,43.6,-79.65,16.14764705882353,2439.9555403556774
120,Ottawa,883391.0,2778.798243,45.416666666667005,-75.7,12.720994475138122,317.9039724187705
127,Quinte West,43086.0,494.0,44.183333333332996,-77.566666666667,14.165846994535519,87.21862348178138
129,Sault Ste. Marie,75141.0,715.0,46.5333,-84.35,11.966120218579235,105.0923076923077
135,Thunder Bay,108359.0,447.5,48.3822,-89.2461,10.551246537396121,242.14301675977654
137,Toronto,2731571.0,630.0,43.7,-79.4,15.022471910112358,4335.826984126984
147,Amos,12823.0,427.0,48.566666666667004,-78.116666666667,11.207070707070708,30.030444964871194
159,Belleterre,313.0,551.0,47.3833,-78.7,10.892717086834732,0.5680580762250453
161,Berthierville,4189.0,6.0,46.0833,-73.1833,16.512448132780083,698.1666666666666
179,Charlemagne,5913.0,2.0,45.716666666667,-73.483333333333,17.607142857142858,2956.5
196,Duparquet,666.0,123.0,48.5,-79.2333,8.118559556786703,5.414634146341464
203,Gatineau,276245.0,342.0,45.483333,-75.65,15.411764705882353,807.733918128655
210,Joliette,20484.0,22.0,46.01666666666701,-73.45,16.751655629139073,931.0909090909091
216,La Sarre,7282.0,148.0,48.8,-79.0,15.466867469879517,49.2027027027027
220,Lac-Mégantic,5654.0,25.0,45.583333333332995,-70.883333333333,15.392638036809817,226.16
224,L'Assomption,22429.0,98.0,45.8333,-73.4167,12.051104972375692,228.8673469387755
226,Lavaltrie,13657.0,68.0,45.8833,-73.2833,12.051104972375692,200.83823529411765
235,Macamic,2751.0,202.0,48.75,-79.0,15.466867469879517,13.618811881188119
237,Malartic,3377.0,148.0,48.1333,-78.1333,8.413055555555555,22.81756756756757
240,Mascouche,46692.0,107.0,45.75,-73.6,17.607142857142858,436.3738317757009
250,Montreal,1704694.0,498.0,45.508055999999996,-73.555,12.798055555555555,3423.0803212851406
261,Notre-Dame-des-Prairies,9273.0,18.0,46.05,-73.4333,16.751655629139073,515.1666666666666
274,Quebec City,531902.0,484.1,46.816111,-71.22416700000001,10.533704735376045,1098.7440611443917
275,Repentigny,84285.0,61.0,45.73333333333299,-73.46666666666701,17.607142857142858,1381.72131147541
278,Rimouski,49197.0,529.5,48.45,-68.53333333333299,13.180180180180182,92.91218130311614
283,Rouyn-Noranda,42334.0,6009.0,48.2333,-79.0167,8.118559556786703,7.0450990181394575
284,Saguenay,145949.0,1136.0,48.4167,-71.0667,8.895211267605635,128.4762323943662
307,Saint-Gabriel,2640.0,2.0,46.3,-73.3833,14.3,1320.0
325,Sept-Îles,25686.0,2140.0,50.2167,-66.3833,7.150969529085873,12.002803738317757
331,Terrebonne,111575.0,154.0,45.7,-73.633333333333,17.607142857142858,724.512987012987
337,Val-d'Or,32491.0,3541.0,48.1,-77.7833,8.413055555555555,9.175656594182435
351,Martensville,7716.0,6.0,52.2897,-106.667,10.15702479338843,1286.0
358,Regina,193100.0,145.557331,50.454722222222,-104.60666666667,11.328099173553719,1326.6250395866355
359,Saskatoon,222189.0,170.8,52.133333333333,-106.68333333333,10.15702479338843,1300.8723653395784
364,Whitehorse,23276.0,416.54,60.717222222222006,-135.05583333333,7.181286549707602,55.879387333749456
365,New York City,8550406.0,1214.0,40.67,-73.94,18.128415300546447,7043.168039538715
366,Los Angeles,319198.0,1302.764019,34.05,-118.25,24.645901639344263,245.01597783228308
367,Chicago,2722389.0,606.057217,41.9,-87.65,15.034806629834254,4491.966968854691
368,Houston,2195914.0,1625.0,29.762777777778002,-95.383055555556,27.563114754098358,1351.3316923076923
369,Phoenix,1469471.0,1341.48,33.528333333333,-112.07638888889,31.377322404371586,1095.4102931091033
370,Philadelphia,1560297.0,366.742316,39.953055555556,-75.163333333333,19.41448467966574,4254.477686180069
371,San Antonio,1436697.0,1205.0,29.428611111111003,-98.493333333333,28.537158469945354,1192.2796680497925
372,San Diego,1394928.0,964.511572,32.715,-117.1625,22.621857923497267,1446.2532544917979
373,Dallas,1197816.0,999.0,32.7825,-96.7975,26.140437158469943,1199.015015015015
374,San Jose,1000536.0,466.12016,37.304166666667,-121.87277777778,22.488251366120217,2146.5194725754836
375,Austin,912791.0,703.958768,30.3,-97.733333333333,27.559562841530056,1296.6540676711907
376,Jacksonville,821784.0,2265.203601,30.316666666667,-81.65,28.055737704918034,362.78593219488704
377,San Francisco,852469.0,121.0,37.766667,-122.433333,17.96775956284153,7045.198347107438
378,Columbus,787033.0,577.852247,39.983333333333,-82.983333333333,18.26311475409836,1361.9969535222729
379,Indianapolis,853173.0,963.5,39.767777777778,-86.15805555555599,18.243715846994537,885.4935132330047
380,Fort Worth,812238.0,904.423848,32.757222222222,-97.33305555555599,27.031395348837208,898.0722940866106
381,Charlotte,731424.0,771.03946,35.226944444444,-80.84333333333299,23.386885245901638,948.6207100217673
382,Seattle,608660.0,369.0,47.6,-122.31666666667,16.94626436781609,1649.4850948509486
383,Denver,682545.0,401.448157,39.739166666666996,-104.98472222222,20.980225988700564,1700.207083028158
384,El Paso,649133.0,663.7,31.790277777778,-106.42333333333,26.735245901639342,978.0518306463763
385,"Washington, D.C.",672228.0,259.0,38.895,-77.036666666667,20.480601092896173,2595.4749034749034
386,Boston,655884.0,232.140634,42.357777777778004,-71.06166666666701,16.18415300546448,2825.3735190539714
387,Detroit,680250.0,370.0,42.331666666667,-83.0475,15.95601092896175,1838.5135135135135
388,Nashville,668347.0,1367.25,36.165,-86.78388888888901,22.4225,488.82574510879505
389,Memphis,646889.0,839.2,35.1175,-89.97111111111099,24.04535519125683,770.8400857959962
390,Portland,583776.0,376.0,45.51666666666701,-122.66666666667,17.466849315068494,1552.595744680851
391,Oklahoma City,579999.0,1606.673224,35.4823,-97.5352,23.8224043715847,360.9937548819199
392,Las Vegas,583756.0,351.720385,36.175,-115.13638888889,27.392622950819675,1659.7161407064875
393,Louisville,760026.0,1033.405256,38.254166666667,-85.760277777778,20.646005509641874,735.4578424942712
394,Baltimore,621849.0,238.537904,39.286388888889,-76.615,19.7103825136612,2606.919024491806
395,Milwaukee,600155.0,248.6388576,43.05,-87.95,15.64915254237288,2413.761894633158
396,Albuquerque,545852.0,490.9,35.116666666667,-106.61666666667,22.129234972677597,1111.9413322468936
397,Tucson,520116.0,611.8,32.221666666667,-110.92638888889,29.937978142076503,850.1405688133377
398,Fresno,494665.0,290.877,36.781666666667,-119.79222222222,26.031693989071037,1700.5985347758674
399,Sacramento,485199.0,259.273,38.575277777778,-121.48611111111,25.00846994535519,1871.3826738611424
400,Mesa,439041.0,344.805117,33.415,-111.83138888889,31.69129032258065,1273.301869241111
401,Kansas City,459787.0,826.284,39.05,-94.583333333333,20.9801652892562,556.4515348233779
402,Atlanta,447841.0,347.1,33.756944444443995,-84.390277777778,24.152631578947368,1290.2362431575914
403,Long Beach,462257.0,133.223,33.768321,-118.19561680000001,24.312295081967214,3469.7987584726357
404,Colorado Springs,416427.0,504.8,38.863333333333,-104.79194444444,18.941256830601095,824.9346275752773
405,Raleigh,439896.0,375.030278,35.818888888889,-78.644722222222,22.45,1172.961293541211
406,Miami,417650.0,143.148642,25.783333333333,-80.21666666666701,28.79406779661017,2917.596661517753
407,Omaha,408958.0,338.201,41.266666666667,-96.016666666667,18.554371584699453,1209.2158213606701
408,Oakland,422856.0,202.024252,37.8,-122.25,20.15396825396825,2093.095238882508
409,Minneapolis,400070.0,151.3,44.980277777778,-93.26416666666701,13.750969529085873,2644.216787838731
410,Tulsa,391906.0,484.0,36.131388888889,-95.937222222222,23.77896174863388,809.7231404958678
411,Arlington,365438.0,258.221814,32.705033,-97.122839,26.234159779614327,1415.2096383305557
412,New Orleans,384320.0,906.495838,29.966666666667,-90.05,26.26530054644809,423.9622333489412
413,Wichita,382368.0,423.7,37.688888888889,-97.336111111111,22.292349726775956,902.4498465895681
414,Cleveland,396815.0,213.6,41.482222222222,-81.669722222222,16.653551912568307,1857.748127340824
415,Tampa,347645.0,441.9,27.970833333333,-82.46472222222201,28.419672131147543,786.705136908803
416,Bakersfield,347483.0,371.946,35.405833333333,-119.01861111111,26.38425414364641,934.2297000102164
417,Aurora,325078.0,402.6,39.695833333333,-104.80805555556,19.73688524590164,807.4465971187282
418,Honolulu,390738.0,177.2,21.308888888889,-157.82611111111,9.226502732240437,2205.0677200902937
419,Anaheim,336265.0,131.6,33.836111111111,-117.88972222222,26.827197802197805,2555.2051671732524
420,Santa Ana,324528.0,71.271292,33.740833333333,-117.88138888889,25.59095890410959,4553.418226233362
421,Corpus Christi,316381.0,1192.0,27.742777777778002,-97.40194444444401,27.19850746268657,265.4203020134228
422,Riverside,303871.0,255.44,33.948063888888996,-117.39612777778,28.628527607361963,1189.5983401190103
423,Lexington,295803.0,739.441605,38.029722222222,-84.49472222222201,20.23032786885246,400.03564581681877
424,St. Louis,315685.0,170.939215,38.616666666667,-90.2,20.66418732782369,1846.767577585986
425,Stockton,290409.0,167.7095,37.975555555556,-121.30083333333,25.07774725274725,1731.619258300812
426,Pittsburgh,305841.0,150.996306,40.45,-80.0,18.835227272727273,2025.486636739312
427,Cincinnati,296943.0,206.01,39.133333333333,-84.5,19.11530054644809,1441.4009028687929
428,Anchorage,298695.0,5098.650594,61.218333333333,-149.89916666667,9.483241758241757,58.5831475393703
429,Henderson,257729.0,279.0,36.0292,-115.0253,27.838797814207652,923.7598566308244
430,Greensboro,279639.0,339.80644,36.08,-79.819444444444,22.23901098901099,822.9361397623894
431,Plano,269776.0,185.0,33.05,-96.75,24.81775956284153,1458.2486486486487
432,Newark,281944.0,67.617,40.735277777778,-74.185,18.4103825136612,4169.720632385347
433,Lincoln,277348.0,240.0,40.810555555556,-96.680277777778,19.29398907103825,1155.6166666666666
434,Toledo,287208.0,217.87,41.666666666667,-83.583333333333,16.990358126721762,1318.254004681691
435,Orlando,238300.0,286.711683,28.533611111111004,-81.386666666667,28.974590163934426,831.148551417767
436,Chula Vista,243916.0,134.925,32.627777777778,-117.04805555556001,22.842465753424655,1807.7895126922363
437,Irvine,250384.0,172.115069,33.684166666667,-117.7925,23.302459016393442,1454.7476955663888
438,Fort Wayne,253691.0,287.05,41.08045,-85.13915,16.9672131147541,883.7867967253092
439,Jersey City,247597.0,54.596949,40.711388888889,-74.064722222222,18.4103825136612,4534.997001389217
440,Durham,228330.0,280.4,35.9875,-78.90722199999999,22.322527472527472,814.3009985734666
441,St. Petersburg,253693.0,356.4,27.773055555556002,-82.64,27.413855421686748,711.820987654321
442,Laredo,244731.0,233.0,27.506111111111004,-99.507222222222,30.746174863387978,1050.3476394849786
443,Buffalo,258959.0,136.0,42.904722222222,-78.849444444444,15.03038674033149,1904.110294117647
444,Madison,236901.0,243.54,43.07472222222201,-89.38444444444401,14.65056179775281,972.739591032274
445,Lubbock,243839.0,320.0,33.566666666667,-101.88333333333,24.380874316939888,761.996875
446,Chandler,236123.0,150.21931,33.303333333333,-111.84138888889,31.69129032258065,1571.8551762752738
447,Scottsdale,217385.0,477.7,33.493055555556005,-111.92611111111,31.69129032258065,455.06594096713417
448,Glendale,226721.0,144.521336,33.583333333333,-112.2,31.152515723270444,1568.7718248051624
449,Reno,225221.0,274.2,39.527222222222,-119.82194444443998,19.82704918032787,821.3749088256748
450,Norfolk,246393.0,248.638858,36.854627777778,-76.274394444444,20.704931506849313,990.967389337028
451,North Las Vegas,216961.0,262.6,36.228611111111,-115.14666666667,27.539893617021278,826.2033511043411
452,Irving,216290.0,175.342195,32.811666666667,-96.950833333333,26.140437158469943,1233.5308109950374
453,Chesapeake,235429.0,909.085826,36.767398,-76.287405,20.704931506849313,258.9733480235781
454,Gilbert,208453.0,196.839096,33.35,-111.78916666667,31.69129032258065,1059.0020185827311
456,Garland,226876.0,147.9,32.906944,-96.635,24.81775956284153,1533.9824205544287
457,Fremont,220000.0,226.9,37.543055555556,-121.98277777778,21.343370165745856,969.5901278096077
458,Baton Rouge,229493.0,204.893959,30.416666666667,-91.1,25.92295081967213,1120.0574244358274
459,Richmond,220289.0,161.874256,37.533333333333005,-77.46666666666701,20.854644808743167,1360.8649419831156
460,Boise,205671.0,207.328548,43.613611111111005,-116.23777777778,18.66584699453552,992.0052109755767
461,San Bernardino,209924.0,154.48,34.129444444444,-117.29305555556002,24.887637362637363,1358.9073019161058
462,Spokane,208916.0,155.451086,47.658888888888995,-117.5,15.37295081967213,1343.9340012072994
463,Des Moines,203433.0,213.933017,41.590833333333,-93.620833333333,17.804918032786883,950.9191374606753
464,Modesto,201165.0,96.069,37.661388888889,-120.99444444443998,25.724316939890713,2093.963713580864
465,Birmingham,212237.0,384.898133,33.524755,-86.81274,24.966120218579235,551.4108326423085
466,Tacoma,198397.0,161.46,47.241388888889,-122.45944444443998,16.915573770491804,1228.7687352904743
467,Fontana,203003.0,109.899,34.1,-117.46666666667,26.987431693989073,1847.1778633108581
468,Rochester,210565.0,96.1,43.165555555556004,-77.611388888889,15.996721311475408,2191.1030176899067
469,Oxnard,205437.0,101.548253,34.191388888889,-119.1825,21.46198347107438,2023.048097144517
470,Moreno Valley,193365.0,133.319637,33.943055555556,-117.22833333333,26.664285714285718,1450.3864873259442
471,Fayetteville,204408.0,382.6,35.066666666667,-78.9175,23.177089783281733,534.260324098275
473,Glendale,191719.0,79.212,34.170833333333,-118.25,26.243715846994537,2420.3277281220016
474,Yonkers,195976.0,52.6,40.941388888889,-73.864444444444,18.764480874316938,3725.7794676806084
475,Huntington Beach,189992.0,82.576,33.692777777778,-117.99972222222,23.302459016393442,2300.8137957760127
476,Montgomery,205764.0,404.530242,32.361666666667,-86.27916666666701,27.322950819672133,508.64923962841823
477,Amarillo,190695.0,233.9,35.199166666667,-101.84527777778,23.667759562841532,815.2843095339889
478,Little Rock,193524.0,302.510611,34.736111111111,-92.331111111111,24.07704918032787,639.7263202116239
479,Akron,199110.0,161.54,41.073055555556,-81.517777777778,17.793905817174515,1232.5739754859478
480,Columbus,200887.0,572.0,32.492222222222,-84.940277777778,25.85136612021858,351.20104895104896
481,Augusta,196741.0,793.831355,33.47,-81.975,25.81666666666667,247.83727521067746
482,Grand Rapids,112571.0,117.25,42.96125,-85.655719444444,15.238251366120219,960.09381663113
483,Shreveport,199311.0,312.9,32.5082078,-93.7629569,25.779781420765026,636.9798657718121
